evidence_id,character_name,novel_title,passage_text,passage_start,passage_end,context_window,evidence_type,causal_markers,emotional_markers,temporal_position,has_pronoun,has_direct_name,character_role,narrative_importance,backstory_relevance,passage_length
Faria_5926_6605_2980722098,Faria,The Count of Monte Cristo,"

The vague disquietude which prevailed among the spectators had so much
affected one of the crowd that he did not await the arrival of the
vessel in harbor, but jumping into a small skiff, desired to be pulled
alongside the _Pharaon_, which he reached as she rounded into La
Réserve basin.

When the young man on board saw this person approach, he left his
station by the pilot, and, hat in hand, leaned over the ship’s
bulwarks.

He was a fine, tall, slim young fellow of eighteen or twenty, with
black eyes, and hair as dark as a raven’s wing; and his whole
appearance bespoke that calmness and resolution peculiar to men
accustomed from their cradle to contend with danger.

",5926,6605,679,negative,so,ire|anger,0.002239087377305493,True,False,mentioned,0.55,0.9999999999999999,679
Faria_7027_7312_162656722,Faria,The Count of Monte Cristo,"

“What happened to him?” asked the owner, with an air of considerable
resignation. “What happened to the worthy captain?”

“He died.”

“Fell into the sea?”

“No, sir, he died of brain-fever in dreadful agony.” Then turning to
the crew, he said, “Bear a hand there, to take in sail!”

",7027,7312,285,action,then,dread,0.0026550906176722408,True,False,mentioned,0.30000000000000004,0.5,285
Faria_7310_7772_1505226033,Faria,The Count of Monte Cristo,"

All hands obeyed, and at once the eight or ten seamen who composed the
crew, sprang to their respective stations at the spanker brails and
outhaul, topsail sheets and halyards, the jib downhaul, and the topsail
clewlines and buntlines. The young sailor gave a look to see that his
orders were promptly and accurately obeyed, and then turned again to
the owner.

“And how did this misfortune occur?” inquired the latter, resuming the
interrupted conversation.

",7310,7772,462,action,then,ire,0.002762019697621187,True,False,mentioned,0.30000000000000004,0.7999999999999999,462
Faria_7779_8392_1847626789,Faria,The Count of Monte Cristo,"

“Alas, sir, in the most unexpected manner. After a long talk with the
harbor-master, Captain Leclere left Naples greatly disturbed in mind.
In twenty-four hours he was attacked by a fever, and died three days
afterwards. We performed the usual burial service, and he is at his
rest, sewn up in his hammock with a thirty-six-pound shot at his head
and his heels, off El Giglio island. We bring to his widow his sword
and cross of honor. It was worth while, truly,” added the young man
with a melancholy smile, “to make war against the English for ten
years, and to die in his bed at last, like everybody else.”

",7779,8392,613,action,,melancholy,0.002939227254144352,True,False,mentioned,0.2,0.7999999999999999,613
Faria_9381_10012_842406215,Faria,The Count of Monte Cristo,"

The owner did not wait for a second invitation. He seized a rope which
Dantès flung to him, and with an activity that would have done credit
to a sailor, climbed up the side of the ship, while the young man,
going to his task, left the conversation to Danglars, who now came
towards the owner. He was a man of twenty-five or twenty-six years of
age, of unprepossessing countenance, obsequious to his superiors,
insolent to his subordinates; and this, in addition to his position as
responsible agent on board, which is always obnoxious to the sailors,
made him as much disliked by the crew as Edmond Dantès was beloved by
them.

",9381,10012,631,negative,so,love,0.0035445289717352057,True,False,mentioned,0.4,0.85,631
Faria_10651_10992_2686138320,Faria,The Count of Monte Cristo,"

“Yes,” said Danglars, darting at Edmond a look gleaming with hate.
“Yes, he is young, and youth is invariably self-confident. Scarcely was
the captain’s breath out of his body when he assumed the command
without consulting anyone, and he caused us to lose a day and a half at
the Island of Elba, instead of making for Marseilles direct.”

",10651,10992,341,action,,ire|hate,0.004024387387053798,True,False,mentioned,0.25,0.5,341
Faria_11561_11994_542308820,Faria,The Count of Monte Cristo,"

The anchor was instantly dropped, and the chain ran rattling through
the port-hole. Dantès continued at his post in spite of the presence of
the pilot, until this manœuvre was completed, and then he added,
“Half-mast the colors, and square the yards!”

“You see,” said Danglars, “he fancies himself captain already, upon my
word.”

“And so, in fact, he is,” said the owner.

“Except your signature and your partner’s, M. Morrel.”

",11561,11994,433,action,so|then,,0.0043682229444868045,True,False,mentioned,0.4,0.30000000000000004,433
Faria_12778_13470_2477066290,Faria,The Count of Monte Cristo,"

“You saw the emperor, then?”

“He entered the marshal’s apartment while I was there.”

“And you spoke to him?”

“Why, it was he who spoke to me, sir,” said Dantès, with a smile.

“And what did he say to you?”

“Asked me questions about the vessel, the time she left Marseilles, the
course she had taken, and what was her cargo. I believe, if she had not
been laden, and I had been her master, he would have bought her. But I
told him I was only mate, and that she belonged to the firm of Morrel &
Son. ‘Ah, yes,’ he said, ‘I know them. The Morrels have been shipowners
from father to son; and there was a Morrel who served in the same
regiment with me when I was in garrison at Valence.’”

",12778,13470,692,action,so|then,,0.004828055772394463,True,False,mentioned,0.5,0.9999999999999999,692
Faria_13468_14032_4162710529,Faria,The Count of Monte Cristo,"

“_Pardieu!_ and that is true!” cried the owner, greatly delighted. “And
that was Policar Morrel, my uncle, who was afterwards a captain.
Dantès, you must tell my uncle that the emperor remembered him, and you
will see it will bring tears into the old soldier’s eyes. Come, come,”
continued he, patting Edmond’s shoulder kindly, “you did very right,
Dantès, to follow Captain Leclere’s instructions, and touch at Elba,
although if it were known that you had conveyed a packet to the
marshal, and had conversed with the emperor, it might bring you into
trouble.”

",13468,14032,564,internal,so,delight,0.0050887662500085015,True,False,mentioned,0.35,0.5,564
Faria_14667_14987_638682513,Faria,The Count of Monte Cristo,"

“Dantès has done his,” replied the owner, “and that is not saying much.
It was Captain Leclere who gave orders for this delay.”

“Talking of Captain Leclere, has not Dantès given you a letter from
him?”

“To me?—no—was there one?”

“I believe that, besides the packet, Captain Leclere confided a letter
to his care.”

",14667,14987,320,negative,,,0.0055417979350218805,True,False,mentioned,0.2,0.5,320
Faria_16305_16664_525062893,Faria,The Count of Monte Cristo,"

“Well, I believe, my dear Edmond, though I have not seen him lately.”

“Yes, he likes to keep himself shut up in his little room.”

“That proves, at least, that he has wanted for nothing during your
absence.”

Dantès smiled. “My father is proud, sir, and if he had not a meal left,
I doubt if he would have asked anything from anyone, except from
Heaven.”

",16305,16664,359,negative,,,0.0061607019384012935,True,False,mentioned,0.15000000000000002,0.30000000000000004,359
Faria_17754_18216_3800706709,Faria,The Count of Monte Cristo,"

“Yes, yes, I know how good a son you are, so now hasten away to see
your father. I have a son too, and I should be very wroth with those
who detained him from me after a three months’ voyage.”

“Then I have your leave, sir?”

“Yes, if you have nothing more to say to me.”

“Nothing.”

“Captain Leclere did not, before he died, give you a letter for me?”

“He was unable to write, sir. But that reminds me that I must ask your
leave of absence for some days.”

",17754,18216,462,negative,so|then,,0.006708193941390773,True,False,mentioned,0.4,0.7,462
Faria_18273_18811_1653210761,Faria,The Count of Monte Cristo,"

“Very good; have what time you require, Dantès. It will take quite six
weeks to unload the cargo, and we cannot get you ready for sea until
three months after that; only be back again in three months, for the
_Pharaon_,” added the owner, patting the young sailor on the back,
“cannot sail without her captain.”

“Without her captain!” cried Dantès, his eyes sparkling with animation;
“pray mind what you say, for you are touching on the most secret wishes
of my heart. Is it really your intention to make me captain of the
_Pharaon_?”

",18273,18811,538,action,,ire,0.006904293561509158,True,False,mentioned,0.1,0.8999999999999999,538
Faria_18809_19316_1797587378,Faria,The Count of Monte Cristo,"

“If I were sole owner we’d shake hands on it now, my dear Dantès, and
call it settled; but I have a partner, and you know the Italian
proverb—_Chi ha compagno ha padrone_—‘He who has a partner has a
master.’ But the thing is at least half done, as you have one out of
two votes. Rely on me to procure you the other; I will do my best.”

“Ah, M. Morrel,” exclaimed the young seaman, with tears in his eyes,
and grasping the owner’s hand, “M. Morrel, I thank you in the name of
my father and of Mercédès.”

",18809,19316,507,action,so,,0.0071068164832499186,True,False,mentioned,0.15,0.5,507
Faria_19612_20175_1180458677,Faria,The Count of Monte Cristo,"

“That is according to the sense you attach to the question, sir. Do you
mean is he a good comrade? No, for I think he never liked me since the
day when I was silly enough, after a little quarrel we had, to propose
to him to stop for ten minutes at the island of Monte Cristo to settle
the dispute—a proposition which I was wrong to suggest, and he quite
right to refuse. If you mean as responsible agent when you ask me the
question, I believe there is nothing to say against him, and that you
will be content with the way in which he has performed his duty.”

",19612,20175,563,negative,since,,0.007410223024589154,True,False,mentioned,0.25,0.7999999999999999,563
Faria_20703_21153_2960666008,Faria,The Count of Monte Cristo,"

“I hope soon to see you again, my dear Edmond. Good luck to you.”

The young sailor jumped into the skiff, and sat down in the stern
sheets, with the order that he be put ashore at La Canebière. The two
oarsmen bent to their work, and the little boat glided away as rapidly
as possible in the midst of the thousand vessels which choke up the
narrow way which leads between the two rows of ships from the mouth of
the harbor to the Quai d’Orléans.

",20703,21153,450,action,so,hope,0.007822447852236859,True,False,mentioned,0.30000000000000004,0.8999999999999999,450
Faria_20770_21503_2559705651,Faria,The Count of Monte Cristo,"

The young sailor jumped into the skiff, and sat down in the stern
sheets, with the order that he be put ashore at La Canebière. The two
oarsmen bent to their work, and the little boat glided away as rapidly
as possible in the midst of the thousand vessels which choke up the
narrow way which leads between the two rows of ships from the mouth of
the harbor to the Quai d’Orléans.

The shipowner, smiling, followed him with his eyes until he saw him
spring out on the quay and disappear in the midst of the throng, which
from five o’clock in the morning until nine o’clock at night, swarms in
the famous street of La Canebière,—a street of which the modern
Phocéens are so proud that they say with all the gravity in the world,
and ",20770,21503,733,action,so,,0.007847763217454453,True,False,mentioned,0.25,0.7,733
